x_col_pos,y_row_pos,x_col_vel,y_row_vel,x_col_acc,y_row_acc,space,r,fin,q,t,episode
1,1,0,0,-1,-1,F,0,True,0.0,0,74
1,1,-1,-1,-1,-1,F,0,True,0.0,0,74
1,1,-3,2,-1,1,F,0,True,0.0,0,74
1,1,2,-4,1,-1,F,0,True,0.0,0,74
1,1,-4,5,0,1,F,0,True,0.0,0,74
2,1,0,1,0,0,F,0,True,0.0,0,74
2,1,5,3,0,1,F,0,True,0.0,0,74
1,1,-1,-4,1,1,F,0,True,0.0,0,74
1,1,4,-3,1,0,F,0,True,0.0,0,74
1,1,1,5,1,1,F,0,True,0.0,0,74
2,1,1,-5,-1,-1,F,0,True,0.0,0,74
1,1,-4,0,1,-1,F,0,True,0.0,0,74
2,1,-5,2,-1,1,F,0,True,0.0,0,74
2,1,4,2,0,1,F,0,True,0.0,0,74
2,1,-1,-2,-1,0,F,0,True,0.0,0,74
1,1,5,3,0,0,F,0,True,0.0,0,74
2,1,2,-4,-1,-1,F,0,True,0.0,0,74
2,1,2,2,1,-1,F,0,True,0.0,0,74
1,1,-2,-1,1,-1,F,0,True,0.0,0,74
2,1,3,-1,1,0,F,0,True,0.0,0,74
1,1,3,3,0,1,F,0,True,0.0,0,74
2,1,-1,0,0,-1,F,0,True,0.0,0,74
1,1,1,2,1,1,F,0,True,0.0,0,74
1,1,0,3,-1,-1,F,0,True,0.0,0,74
2,1,5,3,1,0,F,0,True,0.0,0,74
1,1,-3,-1,1,0,F,0,True,0.0,0,74
2,1,-3,5,1,0,F,0,True,0.0,0,74
1,1,-3,-1,-1,1,F,0,True,0.0,0,74
1,1,-2,0,-1,0,F,0,True,0.0,0,74
2,1,-4,1,-1,1,F,0,True,0.0,0,74
2,1,-2,-3,0,-1,F,0,True,0.0,0,74
2,1,0,-3,1,1,F,0,True,0.0,0,74
2,1,4,3,-1,1,F,0,True,0.0,0,74
2,1,-4,5,1,0,F,0,True,0.0,0,74
2,1,0,-5,-1,1,F,0,True,0.0,0,74
2,1,-3,3,0,-1,F,0,True,0.0,0,74
2,1,1,0,1,0,F,0,True,0.0,0,74
2,1,3,-5,-1,-1,F,0,True,0.0,0,74
2,1,-5,4,-1,0,F,0,True,0.0,0,74
2,1,-4,3,0,-1,F,0,True,0.0,0,74
1,1,-5,-3,-1,0,F,0,True,0.0,0,74
1,1,3,1,-1,1,F,0,True,0.0,0,74
1,1,-4,-4,1,0,F,0,True,0.0,0,74
1,1,-1,-4,0,0,F,0,True,0.0,0,74
1,1,-1,3,-1,0,F,0,True,0.0,0,74
2,1,-5,-1,0,-1,F,0,True,0.0,0,74
1,1,-5,5,0,-1,F,0,True,0.0,0,74
2,1,0,3,0,1,F,0,True,0.0,0,74
2,1,-2,0,-1,0,F,0,True,0.0,0,74
2,1,3,0,-1,1,F,0,True,0.0,0,74
2,1,1,-3,0,-1,F,0,True,0.0,0,74
1,1,5,2,1,1,F,0,True,0.0,0,74
2,1,2,-1,1,-1,F,0,True,0.0,0,74
2,1,5,-5,-1,1,F,0,True,0.0,0,74
2,1,-2,4,1,1,F,0,True,0.0,0,74
2,1,-3,-4,1,0,F,0,True,0.0,0,74
1,1,-4,-5,-1,1,F,0,True,0.0,0,74
2,1,-5,2,0,0,F,0,True,0.0,0,74
2,1,-4,-1,0,1,F,0,True,0.0,0,74
2,1,-3,-5,-1,1,F,0,True,0.0,0,74
2,1,3,1,-1,0,F,0,True,0.0,0,74
1,1,-1,-3,-1,0,F,0,True,0.0,0,74
1,1,5,4,0,0,F,0,True,0.0,0,74
2,1,4,5,-1,0,F,0,True,0.0,0,74
2,1,4,-2,0,1,F,0,True,0.0,0,74
1,1,-5,-2,0,0,F,0,True,0.0,0,74
2,1,1,-1,-1,-1,F,0,True,0.0,0,74
2,1,4,3,1,-1,F,0,True,0.0,0,74
1,1,2,-5,0,1,F,0,True,0.0,0,74
2,1,-3,-2,-1,-1,F,0,True,0.0,0,74
2,1,-2,-1,-1,-1,F,0,True,0.0,0,74
1,1,-3,-5,-1,-1,F,0,True,0.0,0,74
1,1,3,3,-1,1,F,0,True,0.0,0,74
1,1,0,1,-1,-1,F,0,True,0.0,0,74
1,1,1,2,1,0,F,0,True,0.0,0,74
1,1,-2,-1,-1,1,F,0,True,0.0,0,74
2,1,3,-1,1,1,F,0,True,0.0,0,74
2,1,-5,-2,1,-1,F,0,True,0.0,0,74
2,1,-5,-2,1,0,F,0,True,0.0,0,74
2,1,-1,-1,0,0,F,0,True,0.0,0,74
2,1,1,5,0,-1,F,0,True,0.0,0,74
2,1,-1,-1,0,1,F,0,True,0.0,0,74
1,1,-2,1,0,-1,F,0,True,0.0,0,74
1,1,0,1,1,1,F,0,True,0.0,0,74
2,1,-4,-1,1,-1,F,0,True,0.0,0,74
2,1,0,0,0,-1,F,0,True,0.0,0,74
1,1,-5,4,-1,1,F,0,True,0.0,0,74
2,1,-5,-2,0,0,F,0,True,0.0,0,74
2,1,-4,-3,1,1,F,0,True,0.0,0,74
2,1,-4,3,1,0,F,0,True,0.0,0,74
1,1,4,-1,-1,-1,F,0,True,0.0,0,74
1,1,-1,-2,0,-1,F,0,True,0.0,0,74
2,1,5,3,1,1,F,0,True,0.0,0,74
2,1,-4,2,0,0,F,0,True,0.0,0,74
1,1,-3,-4,1,-1,F,0,True,0.0,0,74
2,1,-5,-1,0,0,F,0,True,0.0,0,74
1,1,-4,2,-1,-1,F,0,True,0.0,0,74
1,1,1,1,0,-1,F,0,True,0.0,0,74
2,1,0,-1,-1,0,F,0,True,0.0,0,74
2,1,-2,2,1,0,F,0,True,0.0,0,74
2,1,5,-4,1,-1,F,0,True,0.0,0,74
1,1,0,2,-1,-1,F,0,True,0.0,0,74
1,1,5,-3,-1,-1,F,0,True,0.0,0,74
2,1,-3,-3,1,1,F,0,True,0.0,0,74
2,1,-2,-2,0,1,F,0,True,0.0,0,74
1,1,0,-5,0,-1,F,0,True,0.0,0,74
1,1,-5,4,-1,0,F,0,True,0.0,0,74
1,1,-5,-3,-1,1,F,0,True,0.0,0,74
1,1,-4,-5,0,1,F,0,True,0.0,0,74
2,1,-4,-3,0,0,F,0,True,0.0,0,74
1,1,5,-5,0,0,F,0,True,0.0,0,74
2,1,-3,-2,0,0,F,0,True,0.0,0,74
2,1,0,3,1,1,F,0,True,0.0,0,74
2,1,4,2,1,0,F,0,True,0.0,0,74
2,1,4,-2,0,0,F,0,True,0.0,0,74
2,1,-4,4,1,1,F,0,True,0.0,0,74
1,1,3,4,1,-1,F,0,True,0.0,0,74
2,1,4,-4,-1,1,F,0,True,0.0,0,74
1,1,4,-3,0,0,F,0,True,0.0,0,74
1,1,5,-3,1,0,F,0,True,0.0,0,74
2,1,3,3,1,-1,F,0,True,0.0,0,74
2,1,1,1,-1,0,F,0,True,0.0,0,74
2,1,4,2,0,-1,F,0,True,0.0,0,74
1,1,5,0,1,-1,F,0,True,0.0,0,74
1,1,-3,-1,-1,0,F,0,True,0.0,0,74
2,1,4,-4,1,0,F,0,True,0.0,0,74
1,1,3,-5,1,0,F,0,True,0.0,0,74
1,1,-1,-5,1,0,F,0,True,0.0,0,74
2,1,0,-4,0,0,F,0,True,0.0,0,74
2,1,2,-5,1,0,F,0,True,0.0,0,74
2,1,5,-5,1,1,F,0,True,0.0,0,74
2,1,1,1,1,0,F,0,True,0.0,0,74
1,1,-5,1,0,-1,F,0,True,0.0,0,74
2,1,-1,4,0,1,F,0,True,0.0,0,74
2,1,5,-1,-1,0,F,0,True,0.0,0,74
1,1,-3,-4,1,0,F,0,True,0.0,0,74
2,1,0,4,1,0,F,0,True,0.0,0,74
1,1,4,-3,-1,1,F,0,True,0.0,0,74
2,1,-4,-4,1,-1,F,0,True,0.0,0,74
1,1,5,-3,-1,1,F,0,True,0.0,0,74
1,1,2,-1,1,-1,F,0,True,0.0,0,74
1,1,-4,1,0,-1,F,0,True,0.0,0,74
2,1,-5,-5,-1,0,F,0,True,0.0,0,74
1,1,-3,-5,1,1,F,0,True,0.0,0,74
2,1,5,-5,1,-1,F,0,True,0.0,0,74
2,1,-5,2,0,1,F,0,True,0.0,0,74
1,1,-3,-2,-1,-1,F,0,True,0.0,0,74
1,1,-5,-4,0,1,F,0,True,0.0,0,74
2,1,5,-5,-1,0,F,0,True,0.0,0,74
2,1,-3,-3,-1,-1,F,0,True,0.0,0,74
2,1,3,2,0,0,F,0,True,0.0,0,74
2,1,-5,0,0,-1,F,0,True,0.0,0,74
1,1,-1,5,1,1,F,0,True,0.0,0,74
1,1,2,3,0,1,F,0,True,0.0,0,74
1,1,-1,-4,1,-1,F,0,True,0.0,0,74
1,1,0,4,-1,-1,F,0,True,0.0,0,74
2,1,3,4,-1,-1,F,0,True,0.0,0,74
1,1,-4,5,1,0,F,0,True,0.0,0,74
2,1,4,-4,0,0,F,0,True,0.0,0,74
1,1,5,-3,0,1,F,0,True,0.0,0,74
2,1,2,3,1,1,F,0,True,0.0,0,74
1,1,1,1,-1,1,F,0,True,0.0,0,74
1,1,-2,2,1,-1,F,0,True,0.0,0,74
1,1,3,2,0,0,F,0,True,0.0,0,74
1,1,-1,-2,0,1,F,0,True,0.0,0,74
2,1,-2,-2,-1,1,F,0,True,0.0,0,74
2,1,-1,1,0,1,F,0,True,0.0,0,74
2,1,2,-5,1,-1,F,0,True,0.0,0,74
2,1,0,-1,1,1,F,0,True,0.0,0,74
2,1,4,4,0,0,F,0,True,0.0,0,74
1,1,3,-3,0,-1,F,0,True,0.0,0,74
1,1,4,1,1,-1,F,0,True,0.0,0,74
2,1,-3,1,0,-1,F,0,True,0.0,0,74
1,1,4,-2,0,0,F,0,True,0.0,0,74
2,1,-5,-3,0,-1,F,0,True,0.0,0,74
1,1,2,-3,1,0,F,0,True,0.0,0,74
2,1,-4,3,0,1,F,0,True,0.0,0,74
2,1,0,-3,1,0,F,0,True,0.0,0,74
2,1,0,-5,1,1,F,0,True,0.0,0,74
1,1,3,-4,0,1,F,0,True,0.0,0,74
1,1,-1,1,1,0,F,0,True,0.0,0,74
2,1,0,0,0,1,F,0,True,0.0,0,74
1,1,2,4,1,1,F,0,True,0.0,0,74
1,1,-5,1,0,1,F,0,True,0.0,0,74
1,1,2,-2,1,1,F,0,True,0.0,0,74
1,1,-1,5,0,1,F,0,True,0.0,0,74
1,1,3,0,0,0,F,0,True,0.0,0,74
1,1,-1,-2,1,0,F,0,True,0.0,0,74
2,1,3,-2,0,1,F,0,True,0.0,0,74
1,1,-2,3,-1,-1,F,0,True,0.0,0,74
1,1,4,-3,0,-1,F,0,True,0.0,0,74
1,1,3,-4,-1,-1,F,0,True,0.0,0,74
2,1,-5,-2,1,1,F,0,True,0.0,0,74
1,1,0,-2,1,0,F,0,True,0.0,0,74
2,1,0,2,1,0,F,0,True,0.0,0,74
2,1,-3,2,0,-1,F,0,True,0.0,0,74
1,1,3,1,0,-1,F,0,True,0.0,0,74
1,1,0,-1,1,0,F,0,True,0.0,0,74
2,1,1,-2,1,0,F,0,True,0.0,0,74
1,1,-4,0,-1,0,F,0,True,0.0,0,74
2,1,-5,0,0,1,F,0,True,0.0,0,74
2,1,-3,4,0,0,F,0,True,0.0,0,74
1,1,-4,3,-1,-1,F,0,True,0.0,0,74
2,1,-5,3,-1,-1,F,0,True,0.0,0,74
2,1,2,-4,1,0,F,0,True,0.0,0,74
2,1,3,0,1,0,F,0,True,0.0,0,74
2,1,-3,2,-1,-1,F,0,True,0.0,0,74
1,1,0,0,0,0,F,0,True,0.0,0,74
2,1,5,-3,1,1,F,0,True,0.0,0,74
2,1,-2,4,-1,0,F,0,True,0.0,0,74
1,1,-5,2,1,-1,F,0,True,0.0,0,74
2,1,-1,1,1,-1,F,0,True,0.0,0,74
2,1,3,3,1,1,F,0,True,0.0,0,74
2,1,5,3,0,0,F,0,True,0.0,0,74
1,1,-4,3,0,-1,F,0,True,0.0,0,74
2,1,5,3,0,-1,F,0,True,0.0,0,74
2,1,0,4,-1,-1,F,0,True,0.0,0,74
2,1,-1,3,-1,0,F,0,True,0.0,0,74
2,1,0,1,1,0,F,0,True,0.0,0,74
1,1,-4,-1,-1,0,F,0,True,0.0,0,74
2,1,-5,-1,-1,1,F,0,True,0.0,0,74
1,1,5,4,1,0,F,0,True,0.0,0,74
2,1,2,4,1,-1,F,0,True,0.0,0,74
2,1,-4,5,0,0,F,0,True,0.0,0,74
2,1,4,-1,0,0,F,0,True,0.0,0,74
1,1,2,5,1,-1,F,0,True,0.0,0,74
2,1,2,5,1,-1,F,0,True,0.0,0,74
2,1,-2,4,0,-1,F,0,True,0.0,0,74
1,1,3,1,0,0,F,0,True,0.0,0,74
1,1,-1,-3,0,0,F,0,True,0.0,0,74
1,1,0,1,1,-1,F,0,True,0.0,0,74
1,1,0,-1,-1,1,F,0,True,0.0,0,74
2,1,-1,3,0,1,F,0,True,0.0,0,74
2,1,0,4,0,0,F,0,True,0.0,0,74
2,1,-5,4,0,0,F,0,True,0.0,0,74
1,1,0,-5,0,0,F,0,True,0.0,0,74
1,1,2,5,1,1,F,0,True,0.0,0,74
1,1,2,-2,0,-1,F,0,True,0.0,0,74
1,1,4,-1,0,-1,F,0,True,0.0,0,74
2,1,1,0,-1,-1,F,0,True,0.0,0,74
2,1,0,5,1,-1,F,0,True,0.0,0,74
2,1,3,-2,-1,0,F,0,True,0.0,0,74
2,1,3,5,1,-1,F,0,True,0.0,0,74
2,1,-5,-5,1,0,F,0,True,0.0,0,74
1,1,-1,3,1,-1,F,0,True,0.0,0,74
2,1,1,-4,1,-1,F,0,True,0.0,0,74
2,1,-3,1,1,1,F,0,True,0.0,0,74
1,1,4,2,0,1,F,0,True,0.0,0,74
1,1,-5,-3,0,0,F,0,True,0.0,0,74
1,1,-3,5,-1,1,F,0,True,0.0,0,74
1,1,1,4,-1,0,F,0,True,0.0,0,74
1,1,-2,-4,1,-1,F,0,True,0.0,0,74
1,1,-3,-3,1,-1,F,0,True,0.0,0,74
1,1,-5,4,0,0,F,0,True,0.0,0,74
1,1,5,-2,0,1,F,0,True,0.0,0,74
2,1,-5,1,0,0,F,0,True,0.0,0,74
2,1,-2,3,1,1,F,0,True,0.0,0,74
2,1,5,-1,0,-1,F,0,True,0.0,0,74
1,1,-1,-5,-1,1,F,0,True,0.0,0,74
2,1,1,-3,1,0,F,0,True,0.0,0,74
1,1,2,5,-1,0,F,0,True,0.0,0,74
2,1,-3,0,0,0,F,0,True,0.0,0,74
2,1,4,5,-1,1,F,0,True,0.0,0,74
1,1,-1,4,0,0,F,0,True,0.0,0,74
1,1,-3,2,0,-1,F,0,True,0.0,0,74
2,1,5,4,1,0,F,0,True,0.0,0,74
1,1,5,2,0,1,F,0,True,0.0,0,74
2,1,1,0,0,1,F,0,True,0.0,0,74
1,1,0,-1,0,1,F,0,True,0.0,0,74
1,1,-3,4,-1,1,F,0,True,0.0,0,74
1,1,5,1,1,1,F,0,True,0.0,0,74
2,1,5,1,0,1,F,0,True,0.0,0,74
1,1,4,3,1,1,F,0,True,0.0,0,74
2,1,-3,-1,-1,-1,F,0,True,0.0,0,74
2,1,2,5,-1,-1,F,0,True,0.0,0,74
2,1,5,5,0,1,F,0,True,0.0,0,74
1,1,-5,5,-1,-1,F,0,True,0.0,0,74
2,1,3,-4,-1,-1,F,0,True,0.0,0,74
1,1,3,0,1,0,F,0,True,0.0,0,74
2,1,-3,2,0,0,F,0,True,0.0,0,74
1,1,3,-2,1,-1,F,0,True,0.0,0,74
1,1,1,3,1,1,F,0,True,0.0,0,74
1,1,3,2,0,1,F,0,True,0.0,0,74
2,1,5,4,-1,0,F,0,True,0.0,0,74
2,1,2,0,-1,1,F,0,True,0.0,0,74
1,1,-2,-4,1,0,F,0,True,0.0,0,74
2,1,-2,-4,-1,1,F,0,True,0.0,0,74
